,File.accession,File.format,Output.type,Experiment.accession,Assay,Biosample.term.id,Biosample.term.name,Biosample.type,Biosample.organism,Biosample.treatments,Biosample.treatments.amount,Biosample.treatments.duration,Experiment.target,Library.made.from,Library.depleted.in,Library.extraction.method,Library.lysis.method,Library.crosslinking.method,Library.strand.specific,Experiment.date.released,Project,RBNS.protein.concentration,Library.fragmentation.method,Library.size.range,Biological.replicate.s.,Technical.replicate,Read.length,Mapped.read.length,Run.type,Paired.end,Paired.with,Derived.from,Size,Lab,md5sum,dbxrefs,File.download.URL,Assembly,Platform,Controlled.by,File.Status,Audit.WARNING,Audit.INTERNAL_ACTION,Audit.NOT_COMPLIANT,Audit.ERROR
1797,ENCFF624LRZ,bed bedMethyl,methylation state at CHG,ENCSR284TCU,whole-genome shotgun bisulfite sequencing,CL:0000236,B cell,primary cell,Homo sapiens,,,,NA,DNA,NA,see document,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF693KTE",2625279625,ENCODE Processing Pipeline,b1796a9e0dc6ec9e3879c81c2184f359,,https://www.encodeproject.org/files/ENCFF624LRZ/@@download/ENCFF624LRZ.bed.gz,GRCh38,,NA,released,,,,
3255,ENCFF722JPQ,bed bedMethyl,methylation state at CHG,ENCSR344YUA,whole-genome shotgun bisulfite sequencing,UBERON:0001150,body of pancreas,tissue,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,12/4/17,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF027NZV, ENCFF161MAN",2659184896,ENCODE Processing Pipeline,a979ab4a0d9bf6fcb68e78cba0115862,,https://www.encodeproject.org/files/ENCFF722JPQ/@@download/ENCFF722JPQ.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
3261,ENCFF835YHZ,bed bedMethyl,methylation state at CHG,ENCSR996BJT,whole-genome shotgun bisulfite sequencing,UBERON:0001150,body of pancreas,tissue,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,12/4/17,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF296WTY",2530253489,ENCODE Processing Pipeline,7879ce022acd2926c373f4104c3aa563,,https://www.encodeproject.org/files/ENCFF835YHZ/@@download/ENCFF835YHZ.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
2478,ENCFF324TYC,bed bedMethyl,methylation state at CHG,ENCSR017BUL,whole-genome shotgun bisulfite sequencing,CL:0001054,CD14-positive monocyte,primary cell,Homo sapiens,,,,NA,DNA,NA,see document,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF251WWP",2638923591,ENCODE Processing Pipeline,25ad0fdad3ba12cb8b285d760c42e958,,https://www.encodeproject.org/files/ENCFF324TYC/@@download/ENCFF324TYC.bed.gz,GRCh38,,NA,released,,,,
1198,ENCFF163QEM,bed bedMethyl,methylation state at CHG,ENCSR388RMS,whole-genome shotgun bisulfite sequencing,CL:0001059,"common myeloid progenitor, CD34-positive",primary cell,Homo sapiens,,,,NA,DNA,NA,see document,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF037WIJ, ENCFF161MAN",2722500810,ENCODE Processing Pipeline,675f8787a06ce8076db65170aa8f27d8,,https://www.encodeproject.org/files/ENCFF163QEM/@@download/ENCFF163QEM.bed.gz,GRCh38,,NA,released,,,,
1785,ENCFF375USZ,bed bedMethyl,methylation state at CHG,ENCSR079MPL,whole-genome shotgun bisulfite sequencing,CL:0000221,ectodermal cell,in vitro differentiated cells,Homo sapiens,,,,NA,DNA,NA,see document,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF041EYC, ENCFF161MAN",2669828836,ENCODE Processing Pipeline,b1709c83109577c342e18e161f0a4cbf,,https://www.encodeproject.org/files/ENCFF375USZ/@@download/ENCFF375USZ.bed.gz,GRCh38,,NA,released,,,,
1830,ENCFF702ZZL,bed bedMethyl,methylation state at CHG,ENCSR093NGZ,whole-genome shotgun bisulfite sequencing,CL:0000221,ectodermal cell,in vitro differentiated cells,Homo sapiens,,,,NA,DNA,NA,see document,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF112OJY, ENCFF161MAN, ENCFF183GPO, ENCFF246UBF",2869398864,ENCODE Processing Pipeline,5c25f7afbbdd69143fa785fc29aac702,,https://www.encodeproject.org/files/ENCFF702ZZL/@@download/ENCFF702ZZL.bed.gz,GRCh38,,NA,released,,,,
831,ENCFF861NFJ,bed bedMethyl,methylation state at CHG,ENCSR457CPG,whole-genome shotgun bisulfite sequencing,CL:0000223,endodermal cell,in vitro differentiated cells,Homo sapiens,,,,NA,DNA,NA,see document,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF721YKT",2640423505,ENCODE Processing Pipeline,ad593359eb5e38ad48392db8f23f9797,,https://www.encodeproject.org/files/ENCFF861NFJ/@@download/ENCFF861NFJ.bed.gz,GRCh38,,NA,released,,,,
870,ENCFF714ORJ,bed bedMethyl,methylation state at CHG,ENCSR128BHP,whole-genome shotgun bisulfite sequencing,CL:0000223,endodermal cell,in vitro differentiated cells,Homo sapiens,,,,NA,DNA,NA,see document,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF340UKL",2755173086,ENCODE Processing Pipeline,0924b75ec4fdb01aa2ca25740d8e85fb,,https://www.encodeproject.org/files/ENCFF714ORJ/@@download/ENCFF714ORJ.bed.gz,GRCh38,,NA,released,,,insufficient read length,
1136,ENCFF250XVE,bed bedMethyl,methylation state at CHG,ENCSR559QOU,whole-genome shotgun bisulfite sequencing,UBERON:0001043,esophagus,tissue,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF231CCQ, ENCFF246HVP, ENCFF367QNV",2878784070,ENCODE Processing Pipeline,ffa10a2e92c7d6d10fedda887b5463ea,,https://www.encodeproject.org/files/ENCFF250XVE/@@download/ENCFF250XVE.bed.gz,GRCh38,,NA,released,,,,
3400,ENCFF721BJM,bed bedMethyl,methylation state at CHG,ENCSR890UQO,whole-genome shotgun bisulfite sequencing,EFO:0002784,GM12878,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,2/23/16,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF681ASN",2691236149,ENCODE Processing Pipeline,3ff4ce59e8695f50a1f74aaa099210af,,https://www.encodeproject.org/files/ENCFF721BJM/@@download/ENCFF721BJM.bed.gz,GRCh38,,NA,released,,,,
3402,ENCFF349NNL,bed bedMethyl,methylation state at CHG,ENCSR890UQO,whole-genome shotgun bisulfite sequencing,EFO:0002784,GM12878,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,2/23/16,ENCODE,NA,NA,NA,2,NA,NA,NA,,,,"ENCFF003FWN, ENCFF161MAN",2653560032,ENCODE Processing Pipeline,135216dd821bdd3aa7f48214e1611304,,https://www.encodeproject.org/files/ENCFF349NNL/@@download/ENCFF349NNL.bed.gz,GRCh38,,NA,released,,,,
2454,ENCFF014XRB,bed bedMethyl,methylation state at CHG,ENCSR440MLE,whole-genome shotgun bisulfite sequencing,EFO:0005723,GM23248,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,10/13/15,ENCODE,NA,NA,NA,2,NA,NA,NA,,,,"ENCFF119ELB, ENCFF161MAN",2716750690,ENCODE Processing Pipeline,2aa671e70fbfb1e702da857037506d89,,https://www.encodeproject.org/files/ENCFF014XRB/@@download/ENCFF014XRB.bed.gz,GRCh38,,NA,released,,,,
2455,ENCFF834NXR,bed bedMethyl,methylation state at CHG,ENCSR440MLE,whole-genome shotgun bisulfite sequencing,EFO:0005723,GM23248,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,10/13/15,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF079RGH, ENCFF161MAN",2682119399,ENCODE Processing Pipeline,25a48d6cd411553c1fc70b5727a59e78,,https://www.encodeproject.org/files/ENCFF834NXR/@@download/ENCFF834NXR.bed.gz,GRCh38,,NA,released,,,,
2596,ENCFF433FYX,bed bedMethyl,methylation state at CHG,ENCSR625HZA,whole-genome shotgun bisulfite sequencing,EFO:0005723,GM23248,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,12/4/17,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF317BCZ",2739087085,ENCODE Processing Pipeline,e9b4f268783936e85d2578cdf6d72a1b,,https://www.encodeproject.org/files/ENCFF433FYX/@@download/ENCFF433FYX.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
2599,ENCFF098BCC,bed bedMethyl,methylation state at CHG,ENCSR625HZA,whole-genome shotgun bisulfite sequencing,EFO:0005723,GM23248,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,12/4/17,ENCODE,NA,NA,NA,2,NA,NA,NA,,,,"ENCFF161MAN, ENCFF962MLZ",2706891774,ENCODE Processing Pipeline,c033cd98898c48051be9541aa01f85fc,,https://www.encodeproject.org/files/ENCFF098BCC/@@download/ENCFF098BCC.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
556,ENCFF379ZXG,bed bedMethyl,methylation state at CHG,ENCSR617FKV,whole-genome shotgun bisulfite sequencing,EFO:0003042,H1-hESC,stem cell,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,10/13/15,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF857QML",2652070680,ENCODE Processing Pipeline,afb2e2252b9b005a59e9f1da4907e219,,https://www.encodeproject.org/files/ENCFF379ZXG/@@download/ENCFF379ZXG.bed.gz,GRCh38,,NA,released,inconsistent platforms,,insufficient coverage,
559,ENCFF524BMX,bed bedMethyl,methylation state at CHG,ENCSR617FKV,whole-genome shotgun bisulfite sequencing,EFO:0003042,H1-hESC,stem cell,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,10/13/15,ENCODE,NA,NA,NA,2,NA,NA,NA,,,,"ENCFF161MAN, ENCFF546TLK",2788900169,ENCODE Processing Pipeline,5cce2eb534d1f3da2a67ea574f8b36f2,,https://www.encodeproject.org/files/ENCFF524BMX/@@download/ENCFF524BMX.bed.gz,GRCh38,,NA,released,inconsistent platforms,,insufficient coverage,
2987,ENCFF544LJJ,bed bedMethyl,methylation state at CHG,ENCSR482VHG,whole-genome shotgun bisulfite sequencing,EFO:0003042,H1-hESC,stem cell,Homo sapiens,,,,NA,DNA,NA,see document,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,2,NA,NA,NA,,,,"ENCFF246HVP, ENCFF415JWE, ENCFF543MGN, ENCFF628LEA",1981913792,ENCODE Processing Pipeline,85bec7ff5256a211273252e7ae01bad5,,https://www.encodeproject.org/files/ENCFF544LJJ/@@download/ENCFF544LJJ.bed.gz,GRCh38,,NA,released,high lambda C methylation ratio,,insufficient read length,extremely low coverage
2991,ENCFF974HLL,bed bedMethyl,methylation state at CHG,ENCSR482VHG,whole-genome shotgun bisulfite sequencing,EFO:0003042,H1-hESC,stem cell,Homo sapiens,,,,NA,DNA,NA,see document,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF246HVP, ENCFF605YXD, ENCFF617CLA",1916377798,ENCODE Processing Pipeline,d3ce3546f62b5da7d6ea7f3507007182,,https://www.encodeproject.org/files/ENCFF974HLL/@@download/ENCFF974HLL.bed.gz,GRCh38,,NA,released,high lambda C methylation ratio,,insufficient read length,extremely low coverage
981,ENCFF981JED,bed bedMethyl,methylation state at CHG,ENCSR744UGB,whole-genome shotgun bisulfite sequencing,EFO:0003045,H9,stem cell,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,2,NA,NA,NA,,,,"ENCFF246HVP, ENCFF980VWO",2183638556,ENCODE Processing Pipeline,ea60e8fdbb75c1bf0c401a679bbc9310,,https://www.encodeproject.org/files/ENCFF981JED/@@download/ENCFF981JED.bed.gz,GRCh38,,NA,released,high lambda C methylation ratio,,insufficient read length,extremely low coverage
983,ENCFF605HJO,bed bedMethyl,methylation state at CHG,ENCSR744UGB,whole-genome shotgun bisulfite sequencing,EFO:0003045,H9,stem cell,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF246HVP, ENCFF528PEM",2224004255,ENCODE Processing Pipeline,fd99adb25188d8f18a56bc481b7686da,,https://www.encodeproject.org/files/ENCFF605HJO/@@download/ENCFF605HJO.bed.gz,GRCh38,,NA,released,high lambda C methylation ratio,,insufficient read length,extremely low coverage
1504,ENCFF994KKA,bed bedMethyl,methylation state at CHG,ENCSR699ETV,whole-genome shotgun bisulfite sequencing,UBERON:0000948,heart,tissue,Homo sapiens,,,,NA,DNA,NA,see document,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF759MZT",2725413740,ENCODE Processing Pipeline,bf4a0646483d93e31ad03ffddd0d6544,,https://www.encodeproject.org/files/ENCFF994KKA/@@download/ENCFF994KKA.bed.gz,GRCh38,,NA,released,,,,
527,ENCFF881IGR,bed bedMethyl,methylation state at CHG,ENCSR579AXB,whole-genome shotgun bisulfite sequencing,UBERON:0002084,heart left ventricle,tissue,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF093BBI, ENCFF246HVP, ENCFF479WOW",2899613721,ENCODE Processing Pipeline,1f9929f21c31d763d7853f849b06a0af,,https://www.encodeproject.org/files/ENCFF881IGR/@@download/ENCFF881IGR.bed.gz,GRCh38,,NA,released,,,,
2039,ENCFF833HAZ,bed bedMethyl,methylation state at CHG,ENCSR012TGL,whole-genome shotgun bisulfite sequencing,UBERON:0002084,heart left ventricle,tissue,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF246HVP, ENCFF382MFI, ENCFF501IFY, ENCFF984GJM",2830263324,ENCODE Processing Pipeline,ae0a49968666845bff046c76718abdc7,,https://www.encodeproject.org/files/ENCFF833HAZ/@@download/ENCFF833HAZ.bed.gz,GRCh38,,NA,released,,,,
765,ENCFF566BGW,bed bedMethyl,methylation state at CHG,ENCSR626YZN,whole-genome shotgun bisulfite sequencing,UBERON:0002080,heart right ventricle,tissue,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF055IQZ, ENCFF246HVP, ENCFF338XGV, ENCFF663LBM, ENCFF805HPH",2808984103,ENCODE Processing Pipeline,e038e14cc140d3997f88ee031b81d2cb,,https://www.encodeproject.org/files/ENCFF566BGW/@@download/ENCFF566BGW.bed.gz,GRCh38,,NA,released,inconsistent platforms,,,
1966,ENCFF375AGR,bed bedMethyl,methylation state at CHG,ENCSR442IUA,whole-genome shotgun bisulfite sequencing,UBERON:0002080,heart right ventricle,tissue,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF151RSB, ENCFF246HVP, ENCFF732MWA",2657033481,ENCODE Processing Pipeline,eae56b14ce6fe788b1e87710f2b7d090,,https://www.encodeproject.org/files/ENCFF375AGR/@@download/ENCFF375AGR.bed.gz,GRCh38,,NA,released,,,,
3002,ENCFF157VZT,bed bedMethyl,methylation state at CHG,ENCSR550RTN,whole-genome shotgun bisulfite sequencing,EFO:0002791,HeLa-S3,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,1/9/18,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF845VFH",2689760737,ENCODE Processing Pipeline,f69b7187cd1716057dd8c393ca8d15b9,,https://www.encodeproject.org/files/ENCFF157VZT/@@download/ENCFF157VZT.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
3010,ENCFF093WZD,bed bedMethyl,methylation state at CHG,ENCSR550RTN,whole-genome shotgun bisulfite sequencing,EFO:0002791,HeLa-S3,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,1/9/18,ENCODE,NA,NA,NA,2,NA,NA,NA,,,,"ENCFF161MAN, ENCFF193RVP",2633385714,ENCODE Processing Pipeline,854fb34a39eb12a0d2b0967099ceb838,,https://www.encodeproject.org/files/ENCFF093WZD/@@download/ENCFF093WZD.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
3234,ENCFF936EAQ,bed bedMethyl,methylation state at CHG,ENCSR351IPU,whole-genome shotgun bisulfite sequencing,CL:0000182,hepatocyte,in vitro differentiated cells,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,3/22/16,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF114CLB, ENCFF161MAN",2649739087,ENCODE Processing Pipeline,5ed921577093a10d80059dead32d7f0e,,https://www.encodeproject.org/files/ENCFF936EAQ/@@download/ENCFF936EAQ.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
3239,ENCFF170PBE,bed bedMethyl,methylation state at CHG,ENCSR351IPU,whole-genome shotgun bisulfite sequencing,CL:0000182,hepatocyte,in vitro differentiated cells,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,3/22/16,ENCODE,NA,NA,NA,2,NA,NA,NA,,,,"ENCFF161MAN, ENCFF338JQR",2642384371,ENCODE Processing Pipeline,2637a71dbc44e9a0275a8676745b6b2f,,https://www.encodeproject.org/files/ENCFF170PBE/@@download/ENCFF170PBE.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
846,ENCFF624VFJ,bed bedMethyl,methylation state at CHG,ENCSR881XOU,whole-genome shotgun bisulfite sequencing,EFO:0001187,HepG2,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,10/13/15,ENCODE,NA,NA,NA,2,NA,NA,NA,,,,"ENCFF161MAN, ENCFF572KNK",2669057372,ENCODE Processing Pipeline,62d06f72009bf63046cccaf96a2da4d3,,https://www.encodeproject.org/files/ENCFF624VFJ/@@download/ENCFF624VFJ.bed.gz,GRCh38,,NA,released,,,,
848,ENCFF300GSM,bed bedMethyl,methylation state at CHG,ENCSR881XOU,whole-genome shotgun bisulfite sequencing,EFO:0001187,HepG2,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,10/13/15,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF957OIM",2650711715,ENCODE Processing Pipeline,512e8267d08dee2894f0f725369c6e9f,,https://www.encodeproject.org/files/ENCFF300GSM/@@download/ENCFF300GSM.bed.gz,GRCh38,,NA,released,,,,
3367,ENCFF337LCG,bed bedMethyl,methylation state at CHG,ENCSR786DCL,whole-genome shotgun bisulfite sequencing,EFO:0001187,HepG2,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,12/1/17,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF008SVZ, ENCFF161MAN",2658389206,ENCODE Processing Pipeline,152a1533a6032a76d5eec205440718e6,,https://www.encodeproject.org/files/ENCFF337LCG/@@download/ENCFF337LCG.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
3370,ENCFF372MKR,bed bedMethyl,methylation state at CHG,ENCSR786DCL,whole-genome shotgun bisulfite sequencing,EFO:0001187,HepG2,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,12/1/17,ENCODE,NA,NA,NA,2,NA,NA,NA,,,,"ENCFF161MAN, ENCFF910TUY",2706663608,ENCODE Processing Pipeline,0904c159a70c6f0ffcbc36817dc01296,,https://www.encodeproject.org/files/ENCFF372MKR/@@download/ENCFF372MKR.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
123,ENCFF702VMP,bed bedMethyl,methylation state at CHG,ENCSR354DMU,whole-genome shotgun bisulfite sequencing,EFO:0007089,HUES64,stem cell,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF361JBN",2764829648,ENCODE Processing Pipeline,6cc0a16c3411d816cb1bbb9a9342893d,,https://www.encodeproject.org/files/ENCFF702VMP/@@download/ENCFF702VMP.bed.gz,GRCh38,,NA,released,high lambda C methylation ratio,,insufficient coverage,
