File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample treatments amount,Biosample treatments duration,Experiment target,Library made from,Library depleted in,Library extraction method,Library lysis method,Library crosslinking method,Library strand specific,Experiment date released,Project,RBNS protein concentration,Library fragmentation method,Library size range,Biological replicate(s),Technical replicate,Read length,Mapped read length,Run type,Paired end,Paired with,Derived from,Size,Lab,md5sum,dbxrefs,File download URL,Assembly,Platform,Controlled by,File Status,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR
ENCFF592SYK,bed bedMethyl,methylation state at CpG,ENCSR430SAY,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,1,,,,,,,"ENCFF476ZJG, ENCFF914RHS, ENCFF994BKV",495933659,ENCODE Processing Pipeline,569a1247708802534b7e6cfc3c2a706c,,https://www.encodeproject.org/files/ENCFF592SYK/@@download/ENCFF592SYK.bed.gz,mm10,,,released,,,,
ENCFF972VAG,bed bedMethyl,methylation state at CHH,ENCSR430SAY,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,1,,,,,,,"ENCFF476ZJG, ENCFF914RHS, ENCFF994BKV",7783367516,ENCODE Processing Pipeline,dc545748434a50a142f7c1a0131888f8,,https://www.encodeproject.org/files/ENCFF972VAG/@@download/ENCFF972VAG.bed.gz,mm10,,,released,,,,
ENCFF098QRE,bed bedMethyl,methylation state at CpG,ENCSR430SAY,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,2,,,,,,,"ENCFF126XQG, ENCFF476ZJG, ENCFF890CZY",495956992,ENCODE Processing Pipeline,7a66494cb358e5e2719002564ead466c,,https://www.encodeproject.org/files/ENCFF098QRE/@@download/ENCFF098QRE.bed.gz,mm10,,,released,,,,
ENCFF831GBW,bed bedMethyl,methylation state at CHH,ENCSR430SAY,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,2,,,,,,,"ENCFF126XQG, ENCFF476ZJG, ENCFF890CZY",7784937822,ENCODE Processing Pipeline,3d5fc67c1169c313ed3ece85fd5d85fa,,https://www.encodeproject.org/files/ENCFF831GBW/@@download/ENCFF831GBW.bed.gz,mm10,,,released,,,,
ENCFF036LQW,bed bedMethyl,methylation state at CHG,ENCSR324NAF,whole-genome shotgun bisulfite sequencing,UBERON:0002107,liver,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF174MEW, ENCFF476ZJG, ENCFF533ODX",2416968344,ENCODE Processing Pipeline,ed7275d71ec769014c62e47c4ba4a492,,https://www.encodeproject.org/files/ENCFF036LQW/@@download/ENCFF036LQW.bed.gz,mm10,,,released,,,,
ENCFF553AFX,bed bedMethyl,methylation state at CpG,ENCSR324NAF,whole-genome shotgun bisulfite sequencing,UBERON:0002107,liver,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF174MEW, ENCFF476ZJG, ENCFF533ODX",510715494,ENCODE Processing Pipeline,fa5c525a0a817f13f4681696cd224aa4,,https://www.encodeproject.org/files/ENCFF553AFX/@@download/ENCFF553AFX.bed.gz,mm10,,,released,,,,
ENCFF354TYJ,bed bedMethyl,methylation state at CHH,ENCSR324NAF,whole-genome shotgun bisulfite sequencing,UBERON:0002107,liver,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF174MEW, ENCFF476ZJG, ENCFF533ODX",7805023990,ENCODE Processing Pipeline,430c9d37fc0f611d32904d9179c6248f,,https://www.encodeproject.org/files/ENCFF354TYJ/@@download/ENCFF354TYJ.bed.gz,mm10,,,released,,,,
ENCFF758ZHO,bed bedMethyl,methylation state at CHG,ENCSR324NAF,whole-genome shotgun bisulfite sequencing,UBERON:0002107,liver,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF353YLW, ENCFF476ZJG, ENCFF749ZQF",2402541846,ENCODE Processing Pipeline,edb81d03af179eb64f180795d74fa9f5,,https://www.encodeproject.org/files/ENCFF758ZHO/@@download/ENCFF758ZHO.bed.gz,mm10,,,released,,,,
ENCFF756ITF,bed bedMethyl,methylation state at CHH,ENCSR324NAF,whole-genome shotgun bisulfite sequencing,UBERON:0002107,liver,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF353YLW, ENCFF476ZJG, ENCFF749ZQF",7744714389,ENCODE Processing Pipeline,7654473c5fa8504c9fd0c47c52623fbf,,https://www.encodeproject.org/files/ENCFF756ITF/@@download/ENCFF756ITF.bed.gz,mm10,,,released,,,,
ENCFF371FSG,bed bedMethyl,methylation state at CpG,ENCSR324NAF,whole-genome shotgun bisulfite sequencing,UBERON:0002107,liver,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF353YLW, ENCFF476ZJG, ENCFF749ZQF",506321499,ENCODE Processing Pipeline,2f196c34cbd110290ce3cf24ae782fce,,https://www.encodeproject.org/files/ENCFF371FSG/@@download/ENCFF371FSG.bed.gz,mm10,,,released,,,,
ENCFF331NBR,bed bedMethyl,methylation state at CHG,ENCSR217TMK,whole-genome shotgun bisulfite sequencing,UBERON:0000160,intestine,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,1,,,,,,,"ENCFF447PNX, ENCFF476ZJG, ENCFF912FYO",2514195591,ENCODE Processing Pipeline,c79d319183a89a4d3da05d23f53f5b8c,,https://www.encodeproject.org/files/ENCFF331NBR/@@download/ENCFF331NBR.bed.gz,mm10,,,released,,,,
ENCFF895RRK,bed bedMethyl,methylation state at CpG,ENCSR217TMK,whole-genome shotgun bisulfite sequencing,UBERON:0000160,intestine,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,1,,,,,,,"ENCFF447PNX, ENCFF476ZJG, ENCFF912FYO",528196870,ENCODE Processing Pipeline,7e8e110efdab75b3f93cd7a3dfc05c21,,https://www.encodeproject.org/files/ENCFF895RRK/@@download/ENCFF895RRK.bed.gz,mm10,,,released,,,,
ENCFF888TCY,bed bedMethyl,methylation state at CHH,ENCSR217TMK,whole-genome shotgun bisulfite sequencing,UBERON:0000160,intestine,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,1,,,,,,,"ENCFF447PNX, ENCFF476ZJG, ENCFF912FYO",8177545322,ENCODE Processing Pipeline,d661c68d9cedb384c108de0248f5bacb,,https://www.encodeproject.org/files/ENCFF888TCY/@@download/ENCFF888TCY.bed.gz,mm10,,,released,,,,
ENCFF899HXB,bed bedMethyl,methylation state at CHG,ENCSR217TMK,whole-genome shotgun bisulfite sequencing,UBERON:0000160,intestine,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,2,,,,,,,"ENCFF013MUE, ENCFF476ZJG, ENCFF815WGJ",2446875055,ENCODE Processing Pipeline,a6c849a740d74475cdffeafdc419de7e,,https://www.encodeproject.org/files/ENCFF899HXB/@@download/ENCFF899HXB.bed.gz,mm10,,,released,,,,
ENCFF690ADB,bed bedMethyl,methylation state at CpG,ENCSR217TMK,whole-genome shotgun bisulfite sequencing,UBERON:0000160,intestine,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,2,,,,,,,"ENCFF013MUE, ENCFF476ZJG, ENCFF815WGJ",509978907,ENCODE Processing Pipeline,7e0c1eb9f4f02defceef1dec4392e38d,,https://www.encodeproject.org/files/ENCFF690ADB/@@download/ENCFF690ADB.bed.gz,mm10,,,released,,,,
ENCFF991NMN,bed bedMethyl,methylation state at CHH,ENCSR217TMK,whole-genome shotgun bisulfite sequencing,UBERON:0000160,intestine,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,2,,,,,,,"ENCFF013MUE, ENCFF476ZJG, ENCFF815WGJ",7932284407,ENCODE Processing Pipeline,ea110312224117fdc74ab04d69b15b92,,https://www.encodeproject.org/files/ENCFF991NMN/@@download/ENCFF991NMN.bed.gz,mm10,,,released,,,,
ENCFF748HYK,bed bedMethyl,methylation state at CHG,ENCSR013VIR,whole-genome shotgun bisulfite sequencing,UBERON:0000945,stomach,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF423KAL, ENCFF476ZJG, ENCFF697AGF",2421114089,ENCODE Processing Pipeline,5a93cc9ee52e1b2154628e6468953006,,https://www.encodeproject.org/files/ENCFF748HYK/@@download/ENCFF748HYK.bed.gz,mm10,,,released,,,,
ENCFF880SXA,bed bedMethyl,methylation state at CpG,ENCSR013VIR,whole-genome shotgun bisulfite sequencing,UBERON:0000945,stomach,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF423KAL, ENCFF476ZJG, ENCFF697AGF",507856107,ENCODE Processing Pipeline,02e57b2d025195ce4269fa869c156570,,https://www.encodeproject.org/files/ENCFF880SXA/@@download/ENCFF880SXA.bed.gz,mm10,,,released,,,,
ENCFF284YYM,bed bedMethyl,methylation state at CHH,ENCSR013VIR,whole-genome shotgun bisulfite sequencing,UBERON:0000945,stomach,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF423KAL, ENCFF476ZJG, ENCFF697AGF",7818625704,ENCODE Processing Pipeline,e63ad21650acf53f1b7869bd16c040ab,,https://www.encodeproject.org/files/ENCFF284YYM/@@download/ENCFF284YYM.bed.gz,mm10,,,released,,,,
ENCFF455WPB,bed bedMethyl,methylation state at CHG,ENCSR013VIR,whole-genome shotgun bisulfite sequencing,UBERON:0000945,stomach,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF334LEZ, ENCFF476ZJG, ENCFF825MOI",2417769511,ENCODE Processing Pipeline,d627e3e52ed833e542e564e808e9db4a,,https://www.encodeproject.org/files/ENCFF455WPB/@@download/ENCFF455WPB.bed.gz,mm10,,,released,,,,
ENCFF176GYO,bed bedMethyl,methylation state at CHH,ENCSR013VIR,whole-genome shotgun bisulfite sequencing,UBERON:0000945,stomach,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF334LEZ, ENCFF476ZJG, ENCFF825MOI",7802396111,ENCODE Processing Pipeline,e4004260f3960bd7fe589026b02a89b2,,https://www.encodeproject.org/files/ENCFF176GYO/@@download/ENCFF176GYO.bed.gz,mm10,,,released,,,,
ENCFF301QSZ,bed bedMethyl,methylation state at CpG,ENCSR013VIR,whole-genome shotgun bisulfite sequencing,UBERON:0000945,stomach,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF334LEZ, ENCFF476ZJG, ENCFF825MOI",506412680,ENCODE Processing Pipeline,926cdd7f052f8ea56a4091fa011ce867,,https://www.encodeproject.org/files/ENCFF301QSZ/@@download/ENCFF301QSZ.bed.gz,mm10,,,released,,,,
ENCFF001TKI,bed bedMethyl,methylation state at CpG,ENCSR000DEL,RRBS,UBERON:0002048,lung,tissue,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,1,1,,,,,,ENCFF000LVO,16717586,"Richard Myers, HAIB",0a5f540d57ae0306711e2389f220b7a5,,https://www.encodeproject.org/files/ENCFF001TKI/@@download/ENCFF001TKI.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TKJ,bed bedMethyl,methylation state at CpG,ENCSR000DEL,RRBS,UBERON:0002048,lung,tissue,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,2,1,,,,,,ENCFF000LVR,20887984,"Richard Myers, HAIB",9a5074f3b6d76f13bf3420dbc3b9964a,,https://www.encodeproject.org/files/ENCFF001TKJ/@@download/ENCFF001TKJ.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF399WHI,bed bedMethyl,methylation state at CHG,ENCSR906HLA,whole-genome shotgun bisulfite sequencing,UBERON:0002113,kidney,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF295NWZ, ENCFF476ZJG, ENCFF936OQF",2398807943,ENCODE Processing Pipeline,430769dbc08374fb9f183ab3df22e728,,https://www.encodeproject.org/files/ENCFF399WHI/@@download/ENCFF399WHI.bed.gz,mm10,,,released,low coverage,,,
ENCFF420PMS,bed bedMethyl,methylation state at CpG,ENCSR906HLA,whole-genome shotgun bisulfite sequencing,UBERON:0002113,kidney,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF295NWZ, ENCFF476ZJG, ENCFF936OQF",498679633,ENCODE Processing Pipeline,733635b47025f4aec844ecd7a5a6fa07,,https://www.encodeproject.org/files/ENCFF420PMS/@@download/ENCFF420PMS.bed.gz,mm10,,,released,low coverage,,,
ENCFF253NMT,bed bedMethyl,methylation state at CHH,ENCSR906HLA,whole-genome shotgun bisulfite sequencing,UBERON:0002113,kidney,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF295NWZ, ENCFF476ZJG, ENCFF936OQF",7728378821,ENCODE Processing Pipeline,fc38d7b47cd9358f8530602cd333a6a4,,https://www.encodeproject.org/files/ENCFF253NMT/@@download/ENCFF253NMT.bed.gz,mm10,,,released,low coverage,,,
ENCFF354NPD,bed bedMethyl,methylation state at CHG,ENCSR906HLA,whole-genome shotgun bisulfite sequencing,UBERON:0002113,kidney,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF197NMC, ENCFF476ZJG, ENCFF878VTF",2411928307,ENCODE Processing Pipeline,36960dff8c0dda2aa22fd80506eca740,,https://www.encodeproject.org/files/ENCFF354NPD/@@download/ENCFF354NPD.bed.gz,mm10,,,released,low coverage,,,
ENCFF364RJZ,bed bedMethyl,methylation state at CpG,ENCSR906HLA,whole-genome shotgun bisulfite sequencing,UBERON:0002113,kidney,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF197NMC, ENCFF476ZJG, ENCFF878VTF",502441682,ENCODE Processing Pipeline,29827a8d480a72a2dd0065bbcc1e2649,,https://www.encodeproject.org/files/ENCFF364RJZ/@@download/ENCFF364RJZ.bed.gz,mm10,,,released,low coverage,,,
ENCFF228AMN,bed bedMethyl,methylation state at CHH,ENCSR906HLA,whole-genome shotgun bisulfite sequencing,UBERON:0002113,kidney,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF197NMC, ENCFF476ZJG, ENCFF878VTF",7783299068,ENCODE Processing Pipeline,61ad7d14aad727963b1499c911df6932,,https://www.encodeproject.org/files/ENCFF228AMN/@@download/ENCFF228AMN.bed.gz,mm10,,,released,low coverage,,,
ENCFF329QCJ,bed bedMethyl,methylation state at CHG,ENCSR735PMJ,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF401OFN, ENCFF476ZJG, ENCFF841ZIR",2391654215,ENCODE Processing Pipeline,db469c220f9d7c9a45f1f5fdfb8aba1a,,https://www.encodeproject.org/files/ENCFF329QCJ/@@download/ENCFF329QCJ.bed.gz,mm10,,,released,,,,
ENCFF581CMO,bed bedMethyl,methylation state at CpG,ENCSR735PMJ,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF401OFN, ENCFF476ZJG, ENCFF841ZIR",499226088,ENCODE Processing Pipeline,0cf7bea4889a7923c092cd23b1ec4122,,https://www.encodeproject.org/files/ENCFF581CMO/@@download/ENCFF581CMO.bed.gz,mm10,,,released,,,,
ENCFF028HZV,bed bedMethyl,methylation state at CHH,ENCSR735PMJ,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,1,,,,,,,"ENCFF401OFN, ENCFF476ZJG, ENCFF841ZIR",7708131306,ENCODE Processing Pipeline,5bf04bb7166c4f3dd189f716a1eb3b69,,https://www.encodeproject.org/files/ENCFF028HZV/@@download/ENCFF028HZV.bed.gz,mm10,,,released,,,,
ENCFF820XFX,bed bedMethyl,methylation state at CHG,ENCSR735PMJ,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF423DFE, ENCFF476ZJG, ENCFF555SBG",2390754242,ENCODE Processing Pipeline,c1563bdde93bb47f099eb342e407ba6f,,https://www.encodeproject.org/files/ENCFF820XFX/@@download/ENCFF820XFX.bed.gz,mm10,,,released,,,,
ENCFF559ZAX,bed bedMethyl,methylation state at CHH,ENCSR735PMJ,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF423DFE, ENCFF476ZJG, ENCFF555SBG",7707823597,ENCODE Processing Pipeline,583c773ca4c7dd985e3c975fd6fe46d8,,https://www.encodeproject.org/files/ENCFF559ZAX/@@download/ENCFF559ZAX.bed.gz,mm10,,,released,,,,
ENCFF396QSA,bed bedMethyl,methylation state at CpG,ENCSR735PMJ,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/23/15,ENCODE,,,,2,,,,,,,"ENCFF423DFE, ENCFF476ZJG, ENCFF555SBG",498521298,ENCODE Processing Pipeline,454a018e1133aa8dfd351626fd287691,,https://www.encodeproject.org/files/ENCFF396QSA/@@download/ENCFF396QSA.bed.gz,mm10,,,released,,,,
ENCFF080NOK,bed bedMethyl,methylation state at CHH,ENCSR334GBD,whole-genome shotgun bisulfite sequencing,UBERON:0002107,liver,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,3/14/16,ENCODE,,,,1,,,,,,,"ENCFF048XDY, ENCFF387YEA, ENCFF476ZJG",7701932987,ENCODE Processing Pipeline,4d2d2865691404f85ee2d60a70d1cdd4,,https://www.encodeproject.org/files/ENCFF080NOK/@@download/ENCFF080NOK.bed.gz,mm10,,,released,,,,
ENCFF134ECD,bed bedMethyl,methylation state at CpG,ENCSR334GBD,whole-genome shotgun bisulfite sequencing,UBERON:0002107,liver,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,3/14/16,ENCODE,,,,2,,,,,,,"ENCFF287XKT, ENCFF476ZJG, ENCFF727ZMU",504772144,ENCODE Processing Pipeline,a3d45c1ad1cf6649a5a56c8b19b6bc8e,,https://www.encodeproject.org/files/ENCFF134ECD/@@download/ENCFF134ECD.bed.gz,mm10,,,released,,,,
